Episode 1 Start: (0.0, -0.0)
Episode 1 Reward: -2.2353300998113403, Distance Reached: 0.2
Episode 2 Start: (0.0, -0.0)
Episode 2 Reward: -2.6469151745062067, Distance Reached: 0.24
Episode 3 Start: (0.0, -0.0)
Episode 3 Reward: -1.95844635746492, Distance Reached: 0.08
Episode 4 Start: (0.0, -0.0)
Episode 4 Reward: -2.1417768823439456, Distance Reached: 0.13
Episode 5 Start: (0.0, -0.0)
Episode 5 Reward: -0.14851943824692448, Distance Reached: 0.13
Episode 6 Start: (0.0, -0.0)
Episode 6 Reward: -2.2951992381705786, Distance Reached: 0.28
Episode 7 Start: (0.0, -0.0)
Episode 7 Reward: -2.3870058637979965, Distance Reached: 0.06
Episode 8 Start: (0.0, -0.0)
Episode 8 Reward: -2.7660608514963543, Distance Reached: 0.11
Episode 9 Start: (0.0, -0.0)
Episode 9 Reward: -2.831066466348382, Distance Reached: 0.1
Episode 10 Start: (0.0, -0.0)
Episode 10 Reward: -0.14434646028107323, Distance Reached: 0.18
Episode 11 Start: (0.0, -0.0)
Episode 11 Reward: -0.5112530866192504, Distance Reached: 0.5
Episode 12 Start: (0.0, -0.0)
Episode 12 Reward: -2.7451577870769643, Distance Reached: 0.18
Episode 13 Start: (0.0, -0.0)
Episode 13 Reward: -0.2683881592936014, Distance Reached: 0.2
Episode 14 Start: (0.0, -0.0)
Episode 14 Reward: -2.260988896923789, Distance Reached: 0.05
Episode 15 Start: (0.0, -0.0)
Episode 15 Reward: -2.2769845308326295, Distance Reached: 0.19
Episode 16 Start: (0.0, -0.0)
Episode 16 Reward: -2.2791605380832656, Distance Reached: 0.3
Episode 17 Start: (0.0, -0.0)
Episode 17 Reward: -0.2765856529172863, Distance Reached: 0.18
Episode 18 Start: (0.0, -0.0)
Episode 18 Reward: -2.4949502796839966, Distance Reached: 0.3
Episode 19 Start: (0.0, -0.0)
Episode 19 Reward: -2.2445110861582047, Distance Reached: 0.21
Episode 20 Start: (0.0, -0.0)
Episode 20 Reward: -3.0336074359415677, Distance Reached: 0.39
Episode 21 Start: (0.0, -0.0)
Episode 21 Reward: -2.65690941345248, Distance Reached: 0.24
Episode 22 Start: (0.0, -0.0)
Episode 22 Reward: -1.988637819750863, Distance Reached: 0.02
Episode 23 Start: (0.0, -0.0)
Episode 23 Reward: -2.26359791341674, Distance Reached: 0.22
Episode 24 Start: (0.0, -0.0)
Episode 24 Reward: -0.19646660884086645, Distance Reached: 0.19
Episode 25 Start: (0.0, -0.0)
Episode 25 Reward: -2.0877297222351747, Distance Reached: 0.12
Episode 26 Start: (0.0, -0.0)
Episode 26 Reward: -2.2407283189631837, Distance Reached: 0.06
Episode 27 Start: (0.0, -0.0)
Episode 27 Reward: -2.145306301663714, Distance Reached: 0.06
Episode 28 Start: (0.0, -0.0)
Episode 28 Reward: -2.5767758803252065, Distance Reached: 0.54
Episode 29 Start: (0.0, -0.0)
Episode 29 Reward: -2.529591514695743, Distance Reached: 0.04
Episode 30 Start: (0.0, -0.0)
Episode 30 Reward: -0.5185163847296318, Distance Reached: 0.39
Episode 31 Start: (0.0, -0.0)
Episode 31 Reward: -0.639206417389628, Distance Reached: 0.57
Episode 32 Start: (0.0, -0.0)
Episode 32 Reward: -2.428704913555558, Distance Reached: 0.06
Episode 33 Start: (0.0, -0.0)
Episode 33 Reward: -2.682818838879316, Distance Reached: 0.11
Episode 34 Start: (0.0, -0.0)
Episode 34 Reward: -2.451693422244097, Distance Reached: 0.09
Episode 35 Start: (0.0, -0.0)
Episode 35 Reward: -0.7041840695482555, Distance Reached: 0.7
Episode 36 Start: (0.0, -0.0)
Episode 36 Reward: -2.8049792856762377, Distance Reached: 0.1
Episode 37 Start: (0.0, -0.0)
Episode 37 Reward: -2.285842749584568, Distance Reached: 0.22
Episode 38 Start: (0.0, -0.0)
Episode 38 Reward: -2.034262037144781, Distance Reached: 0.04
Episode 39 Start: (0.0, -0.0)
Episode 39 Reward: -2.8265841205232207, Distance Reached: 0.14
Episode 40 Start: (0.0, -0.0)
Episode 40 Reward: -2.471329649448265, Distance Reached: 0.34
Episode 41 Start: (0.0, -0.0)
Episode 41 Reward: -2.9172616461935137, Distance Reached: 0.37
Episode 42 Start: (0.0, -0.0)
Episode 42 Reward: -2.6839690624925936, Distance Reached: 0.56
Episode 43 Start: (0.0, -0.0)
Episode 43 Reward: -0.6861845555022297, Distance Reached: 0.67
Episode 44 Start: (0.0, -0.0)
Episode 44 Reward: -2.0941070976438985, Distance Reached: 0.08
Episode 45 Start: (0.0, -0.0)
Episode 45 Reward: -2.7662026859003053, Distance Reached: 0.48
Episode 46 Start: (0.0, -0.0)
Episode 46 Reward: -2.259786303206233, Distance Reached: 0.25
Episode 47 Start: (0.0, -0.0)
Episode 47 Reward: -2.3306658798308066, Distance Reached: 0.31
Episode 48 Start: (0.0, -0.0)
Episode 48 Reward: -2.144234825768918, Distance Reached: 0.19
Episode 49 Start: (0.0, -0.0)
Episode 49 Reward: -2.41026271069232, Distance Reached: 0.18
Episode 50 Start: (0.0, -0.0)
Episode 50 Reward: -2.351338785255118, Distance Reached: 0.03
Episode 51 Start: (0.0, -0.0)
Episode 51 Reward: -0.8042163253717295, Distance Reached: 0.57
Episode 52 Start: (0.0, -0.0)
Episode 52 Reward: -0.8632800474490026, Distance Reached: 0.76
Episode 53 Start: (0.0, -0.0)
Episode 53 Reward: -2.434231742943175, Distance Reached: 0.42
Episode 54 Start: (0.0, -0.0)
